"combination","mtry","ntree","nodesize","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
72,3,6000,10,0.468631677501084,0.891891891891892,0.195145049201981,0.826953648938748,0.653907297877496,0.826953648938748,0.871875,0.189090464676299,0.816887474734714,0.633774949469429,0.816887474734714
73,4,6000,10,0.432656831415198,0.902702702702703,0.198284131965644,0.833217748623734,0.666435497247468,0.833217748623734,0.86875,0.190721499910174,0.817194605861546,0.634389211723092,0.817194605861546
74,5,6000,10,0.423677201171035,0.896525096525097,0.200584704206842,0.832566121946094,0.665132243892188,0.832566121946094,0.871875,0.196795105842342,0.822647959828196,0.645295919656392,0.822647959828196
75,6,6000,10,0.411809804116005,0.893436293436293,0.199214331347287,0.830718651832429,0.661437303664858,0.830718651832429,0.884375,0.198382950154438,0.828342123547246,0.656684247094492,0.828342123547246
76,7,6000,10,0.385070690291148,0.908108108108108,0.195390036184014,0.831222888502848,0.662445777005696,0.831222888502848,0.903125,0.193104343434261,0.828874273623042,0.657748547246084,0.828874273623042
77,8,6000,10,0.393399500395334,0.9003861003861,0.197300741981863,0.830821917474272,0.661643834948545,0.830821917474272,0.89375,0.196574565201506,0.829290361293583,0.658580722587165,0.829290361293583
78,9,6000,10,0.409733141795795,0.888030888030888,0.20292374103574,0.830920356251837,0.661840712503675,0.830920356251837,0.875,0.201743333854071,0.825877968671046,0.651755937342092,0.825877968671046
79,10,6000,10,0.40448833500418,0.888803088803089,0.202649737715048,0.830675063785305,0.66135012757061,0.830675063785305,0.878125,0.202223568877555,0.826884632390096,0.653769264780192,0.826884632390096
80,11,6000,10,0.384228920859708,0.898841698841699,0.195317769825115,0.82951934670586,0.65903869341172,0.82951934670586,0.89375,0.195582968356712,0.829441953006569,0.658883906013138,0.829441953006569
81,12,6000,10,0.391316062009392,0.894980694980695,0.198085921295828,0.83049325189747,0.660986503794939,0.83049325189747,0.878125,0.197770344011929,0.824913940121273,0.649827880242547,0.824913940121273
82,13,6000,10,0.405269083355674,0.887258687258687,0.202645810555045,0.831051998004896,0.662103996009792,0.831051998004896,0.88125,0.203731933891367,0.830670477513896,0.661340955027792,0.830670477513896
83,14,6000,10,0.389100702456269,0.897297297297297,0.197889027701815,0.831209578058928,0.662419156117855,0.831209578058928,0.884375,0.199042037397575,0.828291592976251,0.656583185952501,0.828291592976251
84,15,6000,10,0.397613855299462,0.891891891891892,0.200348849587668,0.831007191052651,0.662014382105303,0.831007191052651,0.88125,0.201740762315254,0.82940721323901,0.658814426478019,0.82940721323901
85,2,7000,10,0.527701469646008,0.888803088803089,0.185698538936135,0.817453697451172,0.634907394902344,0.817453697451172,0.8625,0.179902292168454,0.805176225366347,0.610352450732693,0.805176225366347
86,3,7000,10,0.468253357435397,0.892664092664093,0.195115612736467,0.827263982182533,0.654527964365065,0.827263982182533,0.871875,0.188971930045353,0.816836944163719,0.633673888327438,0.816836944163719
87,4,7000,10,0.430033601413678,0.903474903474903,0.197195044121688,0.832606248302675,0.665212496605349,0.832606248302675,0.871875,0.19028276395464,0.817898086154624,0.635796172309247,0.817898086154624
88,5,7000,10,0.43284028790392,0.891119691119691,0.203195073701748,0.832679431366134,0.665358862732268,0.832679431366134,0.875,0.201408919381622,0.827191763516928,0.654383527033856,0.827191763516928
89,6,7000,10,0.405079585521366,0.898069498069498,0.197460073342888,0.830989541306501,0.661979082613001,0.830989541306501,0.89375,0.19798175474989,0.831311584133401,0.662623168266801,0.831311584133401
90,7,7000,10,0.390883274579626,0.902702702702703,0.196304243604507,0.830629037927939,0.661258075855878,0.830629037927939,0.89375,0.193193675572525,0.826309057604851,0.652618115209702,0.826309057604851
