"cont_pred","bin_pred","threshold","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Boyce_train","COR_train","MAE_train","MSE_train","RMSE_train","Rsq_train"
1,1,0.351421110341644,0.942779291553134,0.288694201084689,0.88619284318626,0.77238568637252,0.88619284318626,0.991884164073364,0.427035425561691,0.83422090256623,0.762364292711032,0.873134750603269,-21.0828650256924
0.891,1,0.358720771566766,0.940054495912807,0.293617021276596,0.887124120109455,0.77424824021891,0.887124120109455,0.983498052929591,0.428179359889798,0.834200805052686,0.762069966570984,0.872966188675704,-21.0660450080096
0.998,1,0.328628286610034,0.959016393442623,0.278903456495828,0.888442730769677,0.776885461539355,0.888442730769677,0.987662766276628,0.427218792103192,0.833167413555976,0.76011869562007,0.871847862657282,-21.0736686957186
0.914,1,0.359458047389082,0.942622950819672,0.294871794871795,0.888872204154775,0.777744408309551,0.888872204154775,0.989450881811284,0.427774376825697,0.834352277804813,0.762343030952112,0.873122574987105,-21.1320227313435
1,1,0.388425402348847,0.934604904632153,0.30625,0.889888973263253,0.779777946526506,0.889888973263253,0.985730573057306,0.428689572290121,0.833979209118577,0.76134730918509,0.872552181353694,-21.0513351313255
0.227,0,0.320486055350356,0.954054054054054,0.283192940232651,0.887506492938417,0.775012985876834,0.887506492938417,0.986114611461146,0.43270718482163,0.837550944320467,0.768374847828451,0.876569933221789,-21.0956526613541
1,1,0.296277046277046,0.97275204359673,0.264346538319141,0.886345663571286,0.772691327142571,0.886345663571286,0.99007197741813,0.428303807723789,0.833895491872952,0.761685602193496,0.872746012419132,-21.0611333041318
0.999,1,0.351526368191161,0.932065217391304,0.290554849639983,0.882547484226921,0.765094968453842,0.882547484226921,0.971029102910291,0.428451138307065,0.836681436148223,0.766753480982091,0.875644608835166,-21.1518916683388
0.999,1,0.427498483447492,0.920980926430518,0.321140142517815,0.889654600029669,0.779309200059338,0.889654600029669,0.984209373569907,0.429908414638552,0.833780096393173,0.761330528638575,0.872542565516763,-21.0508491068129
1,1,0.37863294246675,0.934604904632153,0.298910675381264,0.887098019566355,0.774196039132709,0.887098019566355,0.98182112758056,0.425845016275436,0.831390507332433,0.758541940520806,0.870943132770909,-20.9680176223969
0.992,1,0.359819924600946,0.942622950819672,0.298056155507559,0.890145601510433,0.780291203020866,0.890145601510433,0.984794479447945,0.42908852382355,0.836392433801626,0.764800326056253,0.874528630781322,-21.2054486419638
0.999,1,0.339568027720859,0.952646239554318,0.278615071283096,0.887548952351306,0.775097904702612,0.887548952351306,0.981284016123374,0.42117541373571,0.834142417280175,0.763133790521984,0.873575291844947,-21.5539960670388
0.91,1,0.319596539164875,0.955431754874652,0.270291568163909,0.884791492378109,0.769582984756219,0.884791492378109,0.988406840684068,0.420512431312535,0.834379859239549,0.76355316258476,0.873815290885185,-21.5663903758376
0.999,1,0.300458286569398,0.969529085872576,0.261976047904192,0.885533695856033,0.771067391712066,0.885533695856033,0.975922231166388,0.420504073870877,0.832464564106434,0.761524194963422,0.872653536613141,-21.3946947912623
0.997,1,0.35972785972786,0.935933147632312,0.287917737789203,0.885012833559045,0.77002566711809,0.885012833559045,0.978184753033965,0.420614848667729,0.833204700236039,0.761764965335532,0.872791478725321,-21.5135411975846
0.974,1,0.376269714741217,0.930362116991644,0.294143549097314,0.885306589979928,0.770613179959856,0.885306589979928,0.988847784448558,0.42176786581471,0.833516090301547,0.761529156087159,0.87265637915915,-21.5044535364137
0.249,0,0.380421257565284,0.92972972972973,0.311030741410488,0.889093494101081,0.778186988202163,0.889093494101081,0.991806106905825,0.435496570642518,0.839247068844435,0.77077614450138,0.877938576724693,-21.1626249178775
