"combination","mtry","nodesize","ntree","thr_value","Sens_train","F1_train","B.Accuracy_train","TSS_train","AUC_train","Sens_test","F1_test","B.Accuracy_test","TSS_test","AUC_test"
1135,2,80,3000,0.610858742729956,0.841333333333333,0.280866221132354,0.840904010436393,0.681808020872786,0.840904010436393,0.850666666666667,0.289327796942916,0.84679797979798,0.69359595959596,0.84679797979798
1136,3,80,3000,0.59320912912105,0.88,0.257469129299914,0.8456684762025,0.691336952404999,0.8456684762025,0.912,0.265476338078683,0.861353535353535,0.722707070707071,0.861353535353535
1137,4,80,3000,0.613854121108667,0.89,0.255152873641679,0.848029920464587,0.696059840929176,0.848029920464587,0.909333333333333,0.263287632152413,0.859767676767677,0.719535353535353,0.859767676767677
1138,5,80,3000,0.587940702732533,0.878,0.263290355727609,0.848064512056559,0.696129024113117,0.848064512056559,0.874666666666666,0.261345235892103,0.845414141414141,0.690828282828283,0.845414141414141
1139,6,80,3000,0.621189810924995,0.862,0.261764024316968,0.840077136725161,0.680154273450322,0.840077136725161,0.874666666666667,0.265931298040099,0.847535353535354,0.695070707070707,0.847535353535354
1140,7,80,3000,0.629040938119007,0.862666666666667,0.280815669699583,0.847720153179312,0.695440306358625,0.847720153179312,0.858666666666667,0.281655829709925,0.847616161616162,0.695232323232323,0.847616161616162
1141,8,80,3000,0.631837740677668,0.861333333333333,0.261072907027597,0.839668055380213,0.679336110760426,0.839668055380213,0.874666666666667,0.266851729438435,0.847939393939394,0.695878787878788,0.847939393939394
1142,9,80,3000,0.605504456629684,0.862,0.249761470268771,0.835191389976013,0.670382779952026,0.835191389976013,0.885333333333333,0.257821485043148,0.847818181818182,0.695636363636364,0.847818181818182
1143,10,80,3000,0.601580531341644,0.875333333333333,0.244508635768978,0.837212178596979,0.674424357193957,0.837212178596979,0.874666666666667,0.248958222460277,0.839707070707071,0.679414141414142,0.839707070707071
1144,11,80,3000,0.633906870235364,0.872666666666667,0.247539149799348,0.838012414257459,0.676024828514918,0.838012414257459,0.864,0.253831889564022,0.837858585858586,0.675717171717172,0.837858585858586
1145,12,80,3000,0.661862261045722,0.859333333333333,0.255713156726704,0.837203593822329,0.674407187644658,0.837203593822329,0.856,0.260131834801952,0.838252525252525,0.676505050505051,0.838252525252525
