"cont_pred";"bin_pred";"threshold";"Sens_train";"F1_train";"B.Accuracy_train";"TSS_train";"AUC_train";"NA";"NA";"NA";"NA";"NA";"NA"
0,978;1;0,32961697561802;0,909937888198758;0,162913539060328;0,804195357285748;0,608390714571495;0,804195357285748;0,98004200420042;0,278455806496259;0,754462345088829;0,665155582096652;0,815570709440115;-20,7796824747818
0,994;1;0,348235744459786;0,904458598726115;0,162193032552827;0,805340073262906;0,610680146525811;0,805340073262906;0,958712747417299;0,272930633254701;0,754410887796339;0,665850426721673;0,815996584993879;-21,3144169778143
0,995;1;0,357618265301824;0,901587301587302;0,163359217716422;0,805204820360628;0,610409640721255;0,805204820360628;0,978901890189019;0,272786932844854;0,754353458362584;0,666484211058467;0,816384842496764;-21,2670025332272
0,965;1;0,362838182164992;0,900621118012422;0,168213457076566;0,806860887787193;0,613721775574385;0,806860887787193;0,961572157215722;0,277844628906439;0,752818275744971;0,66420472040244;0,814987558434139;-20,7403054665217
0,971;1;0,332382629866632;0,906832298136646;0,163356643356643;0,803658916618394;0,607317833236788;0,803658916618394;0,99035103510351;0,279762945089737;0,75472191063936;0,665098934007075;0,815535979590769;-20,7716376023494
0,958;1;0,332319928045144;0,90625;0,163980774667798;0,805072395042994;0,610144790085989;0,805072395042994;0,983390339033903;0,279528471613358;0,758383124354555;0,669992874260183;0,818530924437301;-21,0581735777143
0,956;1;0,352302166745172;0,903125;0,16758480719049;0,807910502023268;0,615821004046535;0,807910502023268;0,979192732047455;0,280610249934582;0,759279836759466;0,671978075629887;0,819742688671199;-21,1235323570118
0,977;1;0,349655919098474;0,899686520376176;0,16461141382277;0,80411741294479;0,60823482588958;0,80411741294479;0,978106744999137;0,275604142122645;0,755272440192254;0,667325003341691;0,816899628682552;-21,0348927224658
0,964;1;0,33590843455364;0,91358024691358;0,163898117386489;0,805357792249178;0,610715584498356;0,805357792249178;0,976942486770629;0,278561940221604;0,749964316934888;0,660560671501112;0,812748836665493;-20,4837698251052
0,96;1;0,354900686168292;0,897515527950311;0,167974426038942;0,805539140493374;0,611078280986748;0,805539140493374;0,979411817670304;0,281368669235057;0,758859626810266;0,671626433366663;0,81952817728658;-20,9728101102845
0,829;1;0,47416056629446;0,827586206896552;0,189179505553565;0,802097433678952;0,604194867357903;0,802097433678952;0,978937767420969;0,278886733242339;0,758848255241574;0,671071341732137;0,819189441907143;-21,1564943309689
0,28;0;0,410047375528547;0,86833855799373;0,173722169959235;0,803024225385698;0,606048450771396;0,803024225385698;0,982142214221422;0,277914494953379;0,758704657122537;0,671307685602133;0,81933368391769;-21,1685020445205
0,755;1;0,327799694955995;0,909090909090909;0,164399092970522;0,806912438158645;0,61382487631729;0,806912438158645;0,970632887103506;0,279240879616515;0,761203413127694;0,674538928919959;0,82130318940082;-21,2752069514267
0,905;1;0,350777285541683;0,903726708074534;0,167868474185174;0,807517814891;0,615035629781999;0,807517814891;0,975706497773662;0,281330717908956;0,757789089970242;0,669892818973662;0,818469803336484;-20,9285627165892
0,898;1;0,347342892797438;0,900311526479751;0,167342211928199;0,806301438505429;0,612602877010858;0,806301438505429;0,966204620462046;0,279016498747915;0,76020935926408;0,672980566552541;0,820353927614503;-21,0918428572738
0,526;1;0,338412961047915;0,903726708074534;0,165340909090909;0,804926435315067;0,609852870630135;0,804926435315067;0,977254657234093;0,280150005235108;0,75801879914302;0,669692942818197;0,818347690665891;-20,9344854035669
